protocol,model,dtype,config_id,batch_size,batch_timeout,run,dataset,users,spawn_rate,duration,request_count,failure_count,rps,p50_ms,p95_ms,p99_ms,stats_csv,html_report,gpu_csv,log_file
rest,bi,bf16,B1,8,0.01,1,prompts,100,1,15m,41496,0,46.227363287804316,2100,2400,2400,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B1-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B1-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B1-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B1-bi-prompts-run1.log
grpc,bi,bf16,B1,8,0.01,1,prompts,100,1,15m,15865,0,17.44392225560605,56,62,67,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B1-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B1-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B1-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B1-bi-prompts-run1.log
rest,bi,bf16,B2,8,0.05,1,prompts,100,1,15m,43694,0,48.67545818934006,2000,2200,2300,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B2-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B2-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B2-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B2-bi-prompts-run1.log
grpc,bi,bf16,B2,8,0.05,1,prompts,100,1,15m,9045,0,9.88565518468793,100,110,110,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B2-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B2-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B2-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B2-bi-prompts-run1.log
rest,bi,bf16,B3,16,0.01,1,prompts,100,1,15m,50252,0,55.98626883030914,1800,2000,2100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B3-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B3-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B3-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B3-bi-prompts-run1.log
grpc,bi,bf16,B3,16,0.01,1,prompts,100,1,15m,15515,0,17.094400955938152,57,63,69,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B3-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B3-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B3-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B3-bi-prompts-run1.log
rest,bi,bf16,B4,16,0.05,1,prompts,100,1,15m,54273,0,60.416819638015035,1600,1800,1900,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B4-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B4-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B4-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B4-bi-prompts-run1.log
grpc,bi,bf16,B4,16,0.05,1,prompts,100,1,15m,9183,0,10.010551890622793,98,110,110,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B4-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B4-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B4-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B4-bi-prompts-run1.log
rest,bi,bf16,B5,32,0.05,1,prompts,100,1,15m,58778,0,65.49537918080516,1500,1700,1800,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B5-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B5-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B5-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B5-bi-prompts-run1.log
grpc,bi,bf16,B5,32,0.05,1,prompts,100,1,15m,9338,0,10.20673387983134,97,100,110,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B5-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B5-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B5-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B5-bi-prompts-run1.log
rest,bi,bf16,B6,32,0.10,1,prompts,100,1,15m,60057,0,66.89949536070665,1400,1700,1900,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B6-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B6-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B6-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B6-bi-prompts-run1.log
grpc,bi,bf16,B6,32,0.10,1,prompts,100,1,15m,5905,0,6.383022876387618,150,160,170,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B6-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B6-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B6-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B6-bi-prompts-run1.log
rest,bi,bf16,B7,64,0.05,1,prompts,100,1,15m,60148,0,67.01452829428759,1400,1900,2200,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B7-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B7-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B7-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B7-bi-prompts-run1.log
grpc,bi,bf16,B7,64,0.05,1,prompts,100,1,15m,8882,0,9.718562260133014,98,110,110,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B7-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B7-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B7-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B7-bi-prompts-run1.log
rest,bi,bf16,B8,64,0.10,1,prompts,100,1,15m,57022,0,63.498516953071395,1400,2100,2300,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B8-bi-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B8-bi-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B8-bi-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B8-bi-prompts-run1.log
