timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 13:13:23.095, 65, 4, 5376, 81920, 186.82
2026/04/29 13:13:24.096, 37, 4, 5376, 81920, 198.37
2026/04/29 13:13:25.097, 52, 4, 5376, 81920, 120.20
2026/04/29 13:13:26.097, 18, 1, 5376, 81920, 137.57
2026/04/29 13:13:27.098, 20, 5, 5376, 81920, 337.79
2026/04/29 13:13:28.099, 84, 33, 5376, 81920, 139.84
2026/04/29 13:13:29.100, 33, 6, 5376, 81920, 138.76
2026/04/29 13:13:30.100, 82, 16, 5376, 81920, 143.39
2026/04/29 13:13:31.111, 55, 12, 5376, 81920, 132.23
2026/04/29 13:13:32.112, 90, 9, 5376, 81920, 136.84
2026/04/29 13:13:33.112, 47, 1, 5376, 81920, 131.50
2026/04/29 13:13:34.113, 57, 4, 5376, 81920, 191.29
2026/04/29 13:13:35.114, 63, 16, 5376, 81920, 196.50
2026/04/29 13:13:36.115, 69, 9, 5376, 81920, 245.02
2026/04/29 13:13:37.115, 53, 4, 5376, 81920, 163.72
2026/04/29 13:13:38.116, 69, 26, 5376, 81920, 248.57
2026/04/29 13:13:39.117, 55, 2, 5376, 81920, 137.17
2026/04/29 13:13:40.118, 58, 10, 5376, 81920, 166.93
2026/04/29 13:13:41.118, 78, 9, 5376, 81920, 126.62
2026/04/29 13:13:42.119, 62, 7, 5376, 81920, 133.57
2026/04/29 13:13:43.120, 42, 13, 5376, 81920, 271.97
2026/04/29 13:13:44.121, 86, 20, 5376, 81920, 255.10
2026/04/29 13:13:45.122, 46, 10, 5376, 81920, 120.08
2026/04/29 13:13:46.122, 43, 1, 5376, 81920, 144.10
2026/04/29 13:13:47.123, 76, 25, 5376, 81920, 120.41
2026/04/29 13:13:48.124, 75, 3, 5376, 81920, 121.40
2026/04/29 13:13:49.125, 54, 5, 5376, 81920, 142.51
2026/04/29 13:13:50.125, 27, 7, 5376, 81920, 133.43
2026/04/29 13:13:51.126, 44, 10, 5376, 81920, 156.26
2026/04/29 13:13:52.127, 34, 6, 5376, 81920, 121.40
2026/04/29 13:13:53.128, 21, 1, 5376, 81920, 320.24
2026/04/29 13:13:54.129, 65, 9, 5376, 81920, 317.58
2026/04/29 13:13:55.130, 58, 24, 5376, 81920, 141.58
2026/04/29 13:13:56.131, 64, 12, 5376, 81920, 137.02
2026/04/29 13:13:57.131, 75, 15, 5378, 81920, 159.09
2026/04/29 13:13:58.132, 85, 5, 5378, 81920, 262.44
2026/04/29 13:13:59.133, 23, 2, 5378, 81920, 120.81
2026/04/29 13:14:00.134, 30, 2, 5378, 81920, 139.51
2026/04/29 13:14:01.147, 37, 16, 5378, 81920, 142.78
2026/04/29 13:14:02.148, 28, 10, 5378, 81920, 329.44
2026/04/29 13:14:03.149, 85, 30, 5378, 81920, 136.24
2026/04/29 13:14:04.149, 78, 2, 5378, 81920, 187.61
2026/04/29 13:14:05.150, 70, 8, 5378, 81920, 139.97
2026/04/29 13:14:06.151, 38, 5, 5378, 81920, 276.43
2026/04/29 13:14:07.152, 54, 17, 5378, 81920, 294.50
2026/04/29 13:14:08.153, 67, 6, 5378, 81920, 136.10
